aggregate_key,entity_type,entity_id,name_en,name_ar,period_grain,period_start,period_end,metric_code,segment_type,segment_code,metric_value,observation_count,confidence,quality_flags,source_export_date,methodology_version
community:230:quarter:2019-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2019-01-01,2019-03-31,median_rent_per_sqft,all,all,400.76,153,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2019-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2019-04-01,2019-06-30,median_rent_per_sqft,all,all,388.17,130,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2019-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2019-07-01,2019-09-30,median_rent_per_sqft,all,all,399.22,149,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2019-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2019-10-01,2019-12-31,median_rent_per_sqft,all,all,379.59,146,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2020-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2020-01-01,2020-03-31,median_rent_per_sqft,all,all,370.49,150,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2020-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2020-04-01,2020-06-30,median_rent_per_sqft,all,all,368.21,112,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2020-07-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2020-07-01,2020-09-30,median_rent_per_sqft,all,all,371.43,137,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2020-10-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2020-10-01,2020-12-31,median_rent_per_sqft,all,all,340.41,140,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2021-01-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2021-01-01,2021-03-31,median_rent_per_sqft,all,all,330.85,170,moderate,[],2026-09-08,dlx-aggregates-2
community:230:quarter:2021-04-01:median_rent_per_sqft:all:all,community,230,Abu Hail,,quarter,2021-04-01,2021-06-30,median_rent_per_sqft,all,all,341.19,106,moderate,[],2026-09-08,dlx-aggregates-2
