dataset,workbook,sheet,ordinal,field,description,declared_primary_key,declared_size,declared_data_type,range_of_values,source_classification,language,declared_foreign_key
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,1,course_time_from,course time from,True,10,nvarchar,Time,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,2,course_time_to,course time to,True,10,nvarchar,Time,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,3,age_group,"age group (e,.g <15 , between 15 and 25 , beween 25 and 35 ..ect)",True,10,nvarchar,Free Text,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,4,trainee_gender,gender of the trainee,True,10,nvarchar,"Male, Female",Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,5,no_of_trainees,count of tranees,True,4,numeric,1 to 9999,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,6,course_code,course code,True,10,nvarchar,Free Text,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,7,cource_title_ar,course name in Arabic,True,200,nvarchar,Free Text,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,8,cource_title_en,course name in English,True,200,nvarchar,Free Text,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,9,course_date,course end date,True,10,nvarchar,Date,Open,English,False
Accredited Trainers by the Dubai Real Estate Institute,Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Sheet1,10,course_to,course start date,True,10,nvarchar,Date,Open,English,False
