dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,1,age_group,117,0,0.0,6,3,5,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,2,cource_title_ar,117,0,0.0,2,28,30,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,3,cource_title_en,117,0,0.0,2,42,42,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,4,course_code,117,0,0.0,2,3,5,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,5,course_date,117,0,0.0,17,10,10,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,6,course_time_from,117,0,0.0,1,7,7,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,7,course_time_to,117,0,0.0,2,7,7,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,8,course_to,117,0,0.0,20,10,10,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,9,no_of_trainees,117,0,0.0,23,1,2,True,numeric,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,10,trainee_gender,117,0,0.0,2,4,6,True,nvarchar,True
Accredited Trainers by the Dubai Real Estate Institute,accredited_trainers,11,load_timestamp,117,0,0.0,1,24,24,False,,False
Approved Escrow Account Agents,escrow_agents,1,escrow_agent_name_ar,25,0,0.0,23,9,62,True,nvarchar,False
Approved Escrow Account Agents,escrow_agents,2,escrow_agent_name_en,25,0,0.0,24,13,67,True,nvarchar,False
Approved Escrow Account Agents,escrow_agents,3,escrow_agent_number,25,0,0.0,28,4,5,True,numeric,True
Approved Escrow Account Agents,escrow_agents,4,phone,25,20,80.0,4,11,11,True,nvarchar,False
Approved Escrow Account Agents,escrow_agents,5,load_timestamp,25,0,0.0,1,23,23,False,,False
Building and Property Project Records,buildings,1,actual_area,256423,12849,5.010861,74119,4,13,True,number,False
Building and Property Project Records,buildings,2,actual_common_area,256423,131641,51.337439,33929,4,7,True,number,False
Building and Property Project Records,buildings,3,area_id,256423,0,0.0,194,3,3,True,number,False
Building and Property Project Records,buildings,4,area_name_ar,256423,0,0.0,197,3,26,True,nvarchar,False
Building and Property Project Records,buildings,5,area_name_en,256423,0,0.0,224,4,33,True,nvarchar,False
Building and Property Project Records,buildings,6,bld_levels,256423,249251,97.203059,98,1,3,True,number,False
Building and Property Project Records,buildings,7,building_number,256423,34126,13.308479,155749,1,33,True,nvarchar,False
Building and Property Project Records,buildings,8,built_up_area,256423,19629,7.65493,25815,4,11,True,number,False
Building and Property Project Records,buildings,9,car_parks,256423,24989,9.745226,845,1,5,True,number,False
Building and Property Project Records,buildings,10,common_area,256423,79674,31.071316,3707,6,14,True,number,False
Building and Property Project Records,buildings,11,creation_date,256423,9302,3.6276,4793,10,10,True,date,False
Building and Property Project Records,buildings,12,elevators,256423,251666,98.144862,41,4,5,True,number,False
Building and Property Project Records,buildings,13,flats,256423,251046,97.903074,372,1,4,True,number,False
Building and Property Project Records,buildings,14,floors,256423,39495,15.402285,105,1,3,True,nvarchar,False
Building and Property Project Records,buildings,15,is_free_hold,256423,4591,1.790401,2,1,1,True,number,False
Building and Property Project Records,buildings,16,is_lease_hold,256423,104811,40.874259,2,1,1,True,number,False
Building and Property Project Records,buildings,17,is_registered,256423,75684,29.515293,2,4,4,True,number,False
Building and Property Project Records,buildings,18,land_number,256423,0,0.0,16687,1,5,True,nvarchar,False
Building and Property Project Records,buildings,19,land_sub_number,256423,0,0.0,2064,1,4,True,number,False
Building and Property Project Records,buildings,20,land_type_ar,256423,24003,9.360705,9,4,15,True,varchar2,False
Building and Property Project Records,buildings,21,land_type_en,256423,24003,9.360705,9,10,22,True,varchar2,False
