dataset,field,classification,rationale,source_dictionary_classification
Accredited Trainers by the Dubai Real Estate Institute,age_group,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,cource_title_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,cource_title_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,course_code,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,course_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,course_time_from,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,course_time_to,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,course_to,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,no_of_trainees,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,trainee_gender,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Accredited Trainers by the Dubai Real Estate Institute,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Approved Escrow Account Agents,escrow_agent_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Approved Escrow Account Agents,escrow_agent_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Approved Escrow Account Agents,escrow_agent_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Approved Escrow Account Agents,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Approved Escrow Account Agents,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Building and Property Project Records,actual_area,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,actual_common_area,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,area_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,area_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,area_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,bld_levels,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Building and Property Project Records,building_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Building and Property Project Records,built_up_area,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
