relative_path,dataset,extension,bytes,modified_ns,sha256
Accredited Trainers by the Dubai Real Estate Institute/accredited_trainers_2026-07-15_14-15-49_0001.csv,Accredited Trainers by the Dubai Real Estate Institute,.csv,23801,1788523717072465600,b61519976fe3e25cc581359e484cb0ad8202582af96546f306aa441a024abbef
Accredited Trainers by the Dubai Real Estate Institute/Accredited_Trainers_by_the_Dubai_Real_Estate_Institute_2026-09-04_attribute-details.xlsx,Accredited Trainers by the Dubai Real Estate Institute,.xlsx,19635,1788523711298884000,b1d6e16224d748051b0f271ad6e9a3728ade3f4f2fc4d6195e9cf6c40d474a3c
Approved Escrow Account Agents/accredited_escrow_agents_2026-09-01_17-32-19_0001.csv,Approved Escrow Account Agents,.csv,3049,1788523494422476200,3c0db506de47d939920f3d9bd2298d0eb15a89db569e71908701ada6bc978d2b
Approved Escrow Account Agents/Approved_Escrow_Account_Agents_2026-09-04_attribute-details.xlsx,Approved Escrow Account Agents,.xlsx,17591,1788523490733102100,5421e1eca969fa2d16ffd56608dce7e1d7a2df74d5448859da94ad13a16aabce
Building and Property Project Records/Building_and_Property_Project_Records_2026-09-04_attribute-details.xlsx,Building and Property Project Records,.xlsx,31423,1788522849600093300,d16d1f236ae93016cb5fcee68dcadd83de8f41921bb0ba91daa58767469bb43e
Building and Property Project Records/buildings_2026-09-03_17-31-45_0001.csv,Building and Property Project Records,.csv,102098011,1788522873186123200,5d4567618cd9b82d5b9f2a9ed35592b582b1cddfc75ce5d43bd52ed18f275b12
Developers Recorded in Dubai Land Department/developers_2026-09-01_17-32-36_0001.csv,Developers Recorded in Dubai Land Department,.csv,706746,1788523550527272900,bae2e63aa1a2490c10970f1fc34e59256180376d2fbb19b460ab4dbf825d6419
Developers Recorded in Dubai Land Department/Developers_Recorded_in_Dubai_Land_Department_2026-09-04_attribute-details.xlsx,Developers Recorded in Dubai Land Department,.xlsx,23851,1788523545157093300,869b1ffd78031443db3fe808d1e929c0c88e82a2b35da1da508e7533ae5d810d
Elders and People of Determination/elders_and_people_of_determination_2026-09-01_17-52-49_0001.csv,Elders and People of Determination,.csv,1303644,1788523205199347700,98dc97ec338e1fc44f81f168f5a1ce9b4ccc2945420ad83e73e24e3858a3c7e8
Elders and People of Determination/Elders_and_People_of_Determination_2026-09-04_attribute-details.xlsx,Elders and People of Determination,.xlsx,21387,1788523199101397200,6cebfaec6379c8f96cf7d38bd7fa9aca10bc8acd65e7451622b1ea5e8b326d0e
