table,ordinal,field,duckdb_type,visibility
dld_directory_communities,1,area_id,VARCHAR,public
dld_directory_communities,2,municipality_number,VARCHAR,public
dld_directory_communities,3,name_en,VARCHAR,public
dld_directory_communities,4,name_ar,VARCHAR,public
dld_directory_communities,5,aliases,VARCHAR,search-internal
dld_directory_communities,6,source_export_date,DATE,public
dld_directory_communities,7,source_dataset,VARCHAR,public
dld_directory_developers,1,developer_id,VARCHAR,internal-link
dld_directory_developers,2,participant_id,VARCHAR,internal
dld_directory_developers,3,developer_number,VARCHAR,public
dld_directory_developers,4,name_en,VARCHAR,public
dld_directory_developers,5,name_ar,VARCHAR,public
dld_directory_developers,6,registration_date,DATE,public
dld_directory_developers,7,licence_number,VARCHAR,public
dld_directory_developers,8,licence_source_id,VARCHAR,public
dld_directory_developers,9,licence_source_en,VARCHAR,public
dld_directory_developers,10,licence_source_ar,VARCHAR,public
dld_directory_developers,11,licence_issue_date,DATE,public
dld_directory_developers,12,licence_expiry_date,DATE,public
dld_directory_developers,13,legal_status_en,VARCHAR,public
dld_directory_developers,14,legal_status_ar,VARCHAR,public
dld_directory_developers,15,aliases,VARCHAR,search-internal
dld_directory_developers,16,source_export_date,DATE,public
dld_directory_developers,17,source_dataset,VARCHAR,public
dld_directory_projects,1,project_id,VARCHAR,public
dld_directory_projects,2,project_number,VARCHAR,public
dld_directory_projects,3,source_name,VARCHAR,public
dld_directory_projects,4,name_en,VARCHAR,public
dld_directory_projects,5,name_ar,VARCHAR,public
dld_directory_projects,6,source_developer_id,VARCHAR,internal-link
dld_directory_projects,7,developer_id,VARCHAR,internal-link
dld_directory_projects,8,developer_number,VARCHAR,public
dld_directory_projects,9,source_developer_name,VARCHAR,public
dld_directory_projects,10,master_developer_id,VARCHAR,internal-link
dld_directory_projects,11,area_id,VARCHAR,public
dld_directory_projects,12,area_name_en,VARCHAR,public
dld_directory_projects,13,area_name_ar,VARCHAR,public
dld_directory_projects,14,source_escrow_agent_number,VARCHAR,internal-link
dld_directory_projects,15,escrow_agent_number,VARCHAR,public
dld_directory_projects,16,status_en,VARCHAR,public
dld_directory_projects,17,status_ar,VARCHAR,public
dld_directory_projects,18,percent_completed,DOUBLE,public
dld_directory_projects,19,project_start_date,DATE,public
dld_directory_projects,20,project_end_date,DATE,public
dld_directory_projects,21,completion_date,DATE,public
dld_directory_projects,22,cancellation_date,DATE,public
dld_directory_projects,23,no_of_units,BIGINT,public
dld_directory_projects,24,no_of_villas,BIGINT,public
dld_directory_projects,25,no_of_buildings,BIGINT,public
dld_directory_projects,26,aliases,VARCHAR,search-internal
dld_directory_projects,27,source_export_date,DATE,public
dld_directory_projects,28,source_dataset,VARCHAR,public
dld_directory_brokers,1,broker_id,VARCHAR,public
