dataset,english_field,arabic_field,both_present,english_only,arabic_only,both_missing,identical_non_null,arabic_script_in_english,no_arabic_script_in_arabic
Accredited Trainers by the Dubai Real Estate Institute,cource_title_en,cource_title_ar,117,0,0,0,0,0,0
Approved Escrow Account Agents,escrow_agent_name_en,escrow_agent_name_ar,25,0,0,0,0,0,0
Building and Property Project Records,area_name_en,area_name_ar,256423,0,0,0,0,0,0
Building and Property Project Records,land_type_en,land_type_ar,232420,0,0,24003,119,0,119
Building and Property Project Records,master_project_en,master_project_ar,129304,29,0,127090,0,0,0
Building and Property Project Records,project_name_en,project_name_ar,148822,0,0,107601,261,0,504
Building and Property Project Records,property_sub_type_en,property_sub_type_ar,256423,0,0,0,0,0,0
Building and Property Project Records,property_type_en,property_type_ar,256423,0,0,0,0,0,0
Building and Property Project Records,rooms_en,rooms_ar,225385,0,0,31038,12,0,12
Developers Recorded in Dubai Land Department,developer_name_en,developer_name_ar,2348,0,0,0,1,0,2
Developers Recorded in Dubai Land Department,legal_status_en,legal_status_ar,971,0,0,1377,134,5,129
Developers Recorded in Dubai Land Department,license_source_en,license_source_ar,965,0,0,1383,0,0,0
Developers Recorded in Dubai Land Department,license_type_en,license_type_ar,1794,0,0,554,0,0,0
Elders and People of Determination,service_location_en,service_location_ar,6120,0,0,0,0,0,0
Elders and People of Determination,service_name_en,service_name_ar,6120,0,0,0,0,0,0
Free Zone Companies Licensing,fz_company_name_en,fz_company_name_ar,250,0,0,0,5,5,0
Free Zone Companies Licensing,license_source_en,license_source_ar,244,0,5,1,0,0,0
Land Registry,area_name_en,area_name_ar,263663,0,0,0,0,0,0
Land Registry,land_type_en,land_type_ar,243423,0,0,20240,5982,0,5982
Land Registry,master_project_en,master_project_ar,109772,132,0,153759,0,0,0
Land Registry,project_name_en,project_name_ar,93273,0,0,170390,322,0,475
Land Registry,property_sub_type_en,property_sub_type_ar,220581,0,0,43082,68,68,0
Land Registry,property_type_en,property_type_ar,263663,0,0,0,0,0,0
Licenced Owner Associations,company_name_en,company_name_ar,110,0,0,0,0,0,0
Licensed Real Estate Valuators,gender_en,gender_ar,153,0,0,0,0,24,0
Licensed Real Estate Valuators,valuation_company_name_en,valuation_company_name_ar,153,0,0,0,1,0,1
Licensed Real Estate Valuators,valuator_name_en,valuator_name_ar,153,0,0,0,0,0,0
Licensed Real Estate Valuators,valuator_nationality_en,valuator_nationality_ar,153,0,0,0,0,0,0
Lookup Dubai Community Areas,name_en,name_ar,301,0,0,0,0,0,0
Lookup Real Estate Market Types,name_en,name_ar,2,0,0,0,0,0,0
Lookup Real Estate Transactions Groups,name_en,name_ar,3,0,0,0,0,0,0
Lookup Real Estate Transactions Procedures,name_en,name_ar,64,0,0,0,0,0,0
Owners Association Service Charges,management_company_name_en,management_company_name_ar,91193,0,0,0,0,0,0
