child_rows,null_child_rows,non_null_child_rows,matched_rows,unmatched_rows,ambiguous_child_rows,ambiguous_child_keys,duplicate_parent_keys,max_parent_multiplicity,relationship,left_table,left_field,right_table,right_field,normalization,match_percent,cardinality,production_stability,authoritative_fuzzy_matching
1776143,0,1776143,1776143,0,71154,6,6,2,transactions.procedure_id -> transaction_procedures.procedure_id,transactions,procedure_id,transaction_procedures,procedure_id,trim + exact numeric cast,100.0,ambiguous parent key,partial/review,False
1776143,0,1776143,1776143,0,0,0,0,1,"transactions.(procedure_id,trans_group_id) -> transaction_procedures.(procedure_id,group_id)",transactions,procedure_id+trans_group_id,transaction_procedures,procedure_id+group_id,trim + exact numeric cast on both fields,100.0,many-to-one,stable,False
64,0,64,64,0,0,0,0,1,transaction_procedures.group_id -> transaction_groups.group_id,transaction_procedures,group_id,transaction_groups,group_id,trim + exact numeric cast,100.0,many-to-one,stable,False
1776143,0,1776143,1776143,0,0,0,0,1,transactions.trans_group_id -> transaction_groups.group_id,transactions,trans_group_id,transaction_groups,group_id,trim + exact numeric cast,100.0,many-to-one,stable,False
1776143,0,1776143,1130112,646031,0,0,0,1,transactions.reg_type_id -> market_types.market_type_id,transactions,reg_type_id,market_types,market_type_id,trim + exact numeric cast,63.627309,not a valid relationship,invalid/incompatible domains,False
1776143,0,1776143,1776143,0,0,0,0,1,transactions.area_id -> areas.area_id,transactions,area_id,areas,area_id,trim + exact numeric cast,100.0,many-to-one,stable,False
1776143,468749,1307394,1269788,37606,0,0,0,1,transactions.project_number -> projects.project_number,transactions,project_number,projects,project_number,trim + exact numeric cast,97.123591,many-to-one,partial/review,False
10442927,3,10442924,10442924,0,0,0,0,1,rent_contracts.area_id -> areas.area_id,rent_contracts,area_id,areas,area_id,trim + exact numeric cast,100.0,many-to-one,stable,False
10442927,8830428,1612499,1595531,16968,0,0,0,1,rent_contracts.project_number -> projects.project_number,rent_contracts,project_number,projects,project_number,trim + exact numeric cast,98.94772,many-to-one,partial/review,False
256423,107483,148940,132241,16699,0,0,0,1,buildings.project_id -> projects.project_id,buildings,project_id,projects,project_id,trim + exact numeric cast,88.788103,many-to-one,partial/review,False
2374726,1522363,852363,724790,127573,0,0,0,1,units.project_id -> projects.project_id,units,project_id,projects,project_id,trim + exact numeric cast,85.03302,many-to-one,partial/review,False
263663,170388,93275,85930,7345,0,0,0,1,land_registry.project_id -> projects.project_id,land_registry,project_id,projects,project_id,trim + exact numeric cast,92.125436,many-to-one,partial/review,False
3039,2,3037,3029,8,0,0,0,1,projects.developer_id -> developers.developer_id,projects,developer_id,developers,developer_id,trim + exact numeric cast,99.736582,many-to-one,partial/review,False
3039,0,3039,3039,0,0,0,0,1,projects.master_developer_id -> developers.developer_id,projects,master_developer_id,developers,developer_id,trim + exact numeric cast,100.0,many-to-one,stable,False
