dataset,field,classification,publication,reason
Accredited Trainers by the Dubai Real Estate Institute,age_group,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Accredited Trainers by the Dubai Real Estate Institute,cource_title_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,cource_title_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,course_code,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,course_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,course_time_from,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,course_time_to,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,course_to,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Accredited Trainers by the Dubai Real Estate Institute,no_of_trainees,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Accredited Trainers by the Dubai Real Estate Institute,trainee_gender,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Accredited Trainers by the Dubai Real Estate Institute,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Approved Escrow Account Agents,escrow_agent_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Approved Escrow Account Agents,escrow_agent_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Approved Escrow Account Agents,escrow_agent_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Approved Escrow Account Agents,phone,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Approved Escrow Account Agents,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Building and Property Project Records,actual_area,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Building and Property Project Records,actual_common_area,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
