period,contracts,new_contracts,renewed_contracts
2001-02,1,1,0
2004-06,1,1,0
2005-01,2,2,0
2005-04,1,1,0
2005-05,1,1,0
2005-07,1,1,0
2005-08,1,1,0
2005-10,1,1,0
2005-12,2,2,0
2006-04,2,2,0
2006-06,2,2,0
2006-07,1,1,0
2006-10,1,1,0
2007-01,5,5,0
2007-03,1,1,0
2007-04,1,1,0
2007-08,1,1,0
2007-11,3,3,0
2007-12,3,3,0
2008-01,1,1,0
2008-04,1,1,0
2008-05,1,1,0
2008-06,1,1,0
2008-07,2,2,0
2008-09,2,2,0
2008-11,1,1,0
2009-01,6,6,0
2009-02,2,2,0
2009-03,1,1,0
2009-04,1,1,0
2009-05,5,5,0
2009-06,3,3,0
2009-07,1,1,0
2009-08,3,3,0
2009-09,7,7,0
2009-10,4,4,0
2009-11,1,1,0
2009-12,4,4,0
2010-01,19,19,0
2010-02,11,11,0
2010-03,1058,1056,2
2010-04,671,669,2
2010-05,785,783,2
2010-06,818,813,5
2010-07,1031,1013,18
2010-08,1145,1123,22
2010-09,1312,1282,30
2010-10,1421,1343,78
2010-11,1492,1415,77
2010-12,1587,1476,111
2011-01,6579,5714,865
2011-02,2014,1841,173
2011-03,2610,2340,270
2011-04,2913,2627,286
2011-05,3064,2702,362
2011-06,3356,2955,401
2011-07,4609,4035,574
2011-08,4888,4273,615
2011-09,5067,4404,663
2011-10,6269,5480,789
2011-11,6351,5425,926
2011-12,6310,5383,927
2012-01,20188,15591,4597
2012-02,8377,7078,1299
2012-03,8823,7324,1499
2012-04,10279,8445,1834
2012-05,10235,8320,1915
2012-06,10681,8549,2132
2012-07,12181,9152,3029
2012-08,11697,8487,3210
2012-09,12196,8803,3393
2012-10,14209,10132,4077
2012-11,13445,9417,4028
2012-12,14382,10067,4315
2013-01,37972,23077,14895
2013-02,16779,11295,5484
2013-03,19101,13142,5959
2013-04,21312,14496,6816
2013-05,20994,14171,6823
2013-06,22095,14900,7195
2013-07,29521,20770,8751
2013-08,26753,18448,8305
2013-09,28505,20086,8419
2013-10,28749,18942,9807
2013-11,25421,16286,9135
2013-12,25047,15614,9433
2014-01,61796,34514,27282
2014-02,26849,15986,10863
2014-03,28961,16858,12103
2014-04,31538,18059,13479
2014-05,29970,17096,12874
2014-06,30315,17296,13019
2014-07,34321,17743,16578
2014-08,30270,16569,13701
2014-09,31816,18021,13795
2014-10,32801,17780,15021
2014-11,30062,16441,13621
2014-12,28371,15183,13188
2015-01,66955,29540,37415
2015-02,29710,15310,14400
2015-03,32407,16759,15648
2015-04,34377,17057,17320
2015-05,32332,15787,16545
2015-06,32605,15984,16621
2015-07,35418,14693,20725
2015-08,32112,14291,17821
2015-09,32362,12936,19426
2015-10,32726,12533,20193
2015-11,30311,12366,17945
2015-12,29846,12077,17769
2016-01,68403,18903,49500
2016-02,34364,13316,21048
2016-03,31378,14248,17130
2016-04,36057,14545,21512
2016-05,33767,13651,20116
2016-06,33154,13794,19360
2016-07,36306,13531,22775
2016-08,35810,16376,19434
2016-09,33619,14992,18627
2016-10,34170,14451,19719
2016-11,31953,14540,17413
2016-12,31529,14089,17440
2017-01,68022,22421,45601
2017-02,32932,15206,17726
2017-03,35390,16409,18981
2017-04,37418,16619,20799
2017-05,35743,16418,19325
2017-06,34705,15618,19087
2017-07,39433,17057,22376
2017-08,39158,19095,20063
2017-09,36781,17894,18887
2017-10,38764,19308,19456
2017-11,37052,19253,17799
2017-12,35770,18370,17400
2018-01,71099,26949,44150
2018-02,37615,19382,18233
2018-03,39774,20462,19312
2018-04,41124,20097,21027
2018-05,38557,18906,19651
2018-06,36620,17731,18889
2018-07,41670,19624,22046
2018-08,40383,19782,20601
2018-09,38330,19117,19213
2018-10,40713,20581,20132
2018-11,38273,19530,18743
2018-12,37523,19129,18394
2019-01,70949,25754,45195
2019-02,39062,19641,19421
2019-03,40907,20383,20524
2019-04,42676,20674,22002
2019-05,39640,19161,20479
2019-06,37342,17674,19668
2019-07,44673,21343,23330
2019-08,41544,19683,21861
2019-09,41536,21213,20323
2019-10,44232,22556,21676
2019-11,41205,21198,20007
2019-12,40572,20966,19606
2020-01,70539,25783,44756
2020-02,44088,21708,22380
2020-03,40617,21028,19589
2020-04,33423,11810,21613
2020-05,32689,12115,20574
2020-06,36021,16229,19792
2020-07,46692,22673,24019
2020-08,45915,24374,21541
2020-09,47219,26630,20589
2020-10,49260,27354,21906
2020-11,47217,27198,20019
2020-12,46512,26141,20371
2021-01,76393,34623,41770
2021-02,49203,27718,21485
2021-03,50879,28693,22186
2021-04,46092,26911,19181
2021-05,40253,22773,17480
2021-06,44161,25779,18382
2021-07,51832,27220,24612
2021-08,53441,29284,24157
2021-09,58434,33378,25056
2021-10,62878,36517,26361
2021-11,60687,35383,25304
2021-12,58503,32355,26148
2022-01,80567,34337,46230
2022-02,60384,31481,28903
2022-03,61636,32343,29293
2022-04,58014,29779,28235
2022-05,49920,25010,24910
2022-06,54479,29967,24512
2022-07,59112,28395,30717
2022-08,62548,32722,29826
2022-09,66861,34659,32202
2022-10,72598,37593,35005
2022-11,70695,36954,33741
2022-12,64967,30808,34159
2023-01,87373,34233,53140
2023-02,65345,30454,34891
2023-03,67394,31182,36212
2023-04,61772,26412,35360
2023-05,59253,28087,31166
2023-06,59397,28287,31110
2023-07,64897,28612,36285
2023-08,69199,33420,35779
2023-09,73978,36300,37678
2023-10,80282,39405,40877
2023-11,77732,38596,39136
2023-12,73979,35330,38649
2024-01,97860,39891,57969
2024-02,80689,38854,41835
2024-03,75708,37411,38297
2024-04,69178,30180,38998
2024-05,74615,39321,35294
2024-06,66829,31723,35106
2024-07,79040,40012,39028
2024-08,80781,40833,39948
2024-09,86495,44962,41533
2024-10,87792,43733,44059
2024-11,83541,41747,41794
2024-12,79929,38788,41141
2025-01,105631,45123,60508
2025-02,83718,42177,41541
2025-03,82268,39249,43019
2025-04,78713,39414,39299
2025-05,79055,42095,36960
2025-06,72872,36480,36392
2025-07,84578,44018,40560
2025-08,85792,44119,41673
2025-09,89955,46649,43306
2025-10,93185,48593,44592
2025-11,87849,45556,42293
2025-12,81650,40391,41259
2026-01,108894,47171,61723
2026-02,83775,42001,41774
2026-03,72238,29745,42493
2026-04,77929,39428,38501
