period,records,sales,market_sale_candidates,mortgages,gifts
1966-01,1,0,0,1,0
1967-11,1,0,0,1,0
1975-01,1,1,1,0,0
1975-06,1,0,0,1,0
1975-07,1,0,0,1,0
1975-11,1,0,0,1,0
1976-02,1,0,0,1,0
1976-04,1,0,0,1,0
1976-05,1,0,0,1,0
1976-06,2,0,0,2,0
1976-09,1,0,0,1,0
1977-02,1,0,0,1,0
1977-04,3,0,0,3,0
1977-07,1,0,0,1,0
1977-10,1,0,0,1,0
1978-02,1,0,0,1,0
1978-03,1,0,0,1,0
1978-04,1,0,0,1,0
1978-06,2,0,0,2,0
1979-01,1,0,0,1,0
1979-06,1,0,0,1,0
1980-02,1,0,0,1,0
1980-04,1,0,0,1,0
1980-08,1,0,0,1,0
1980-09,2,0,0,2,0
1981-11,1,0,0,1,0
1982-05,1,0,0,1,0
1982-09,2,0,0,2,0
1982-11,1,0,0,1,0
1983-01,1,0,0,1,0
1983-05,1,0,0,1,0
1983-06,1,0,0,1,0
1983-10,2,0,0,2,0
1983-12,1,0,0,1,0
1984-01,1,0,0,1,0
1984-02,4,0,0,4,0
1984-03,1,0,0,1,0
1984-05,1,0,0,1,0
1984-06,2,0,0,2,0
1984-09,1,0,0,1,0
1984-10,1,0,0,1,0
1984-12,1,0,0,1,0
1985-01,1,0,0,1,0
1985-03,1,0,0,1,0
1985-04,2,0,0,2,0
1985-05,1,0,0,1,0
1985-06,1,0,0,1,0
1985-07,1,0,0,1,0
1985-09,1,0,0,1,0
1985-12,1,0,0,1,0
1986-01,3,0,0,3,0
1986-02,1,0,0,1,0
1986-04,1,0,0,1,0
1986-10,1,0,0,1,0
1986-12,3,0,0,3,0
1987-02,1,0,0,1,0
1987-05,1,0,0,1,0
1987-07,1,0,0,1,0
1987-09,6,0,0,6,0
1987-10,2,0,0,2,0
1987-11,1,0,0,1,0
1988-01,1,0,0,1,0
1988-02,1,0,0,1,0
1988-03,1,0,0,1,0
1988-04,3,0,0,3,0
1988-05,6,0,0,6,0
1988-06,1,0,0,1,0
1988-07,3,0,0,3,0
1988-09,3,0,0,3,0
1988-10,3,0,0,3,0
1988-11,3,0,0,3,0
1988-12,2,0,0,2,0
1989-01,1,0,0,1,0
1989-02,2,0,0,2,0
1989-04,2,0,0,2,0
1989-05,3,0,0,3,0
1989-06,5,0,0,5,0
1989-07,2,0,0,2,0
1989-08,5,0,0,5,0
1989-09,6,0,0,6,0
1989-10,2,0,0,2,0
1989-12,4,0,0,4,0
1990-01,5,0,0,5,0
1990-02,3,1,1,2,0
1990-03,6,0,0,6,0
1990-04,3,0,0,3,0
1990-05,3,0,0,3,0
1990-06,3,0,0,3,0
1990-07,4,0,0,4,0
1990-08,1,0,0,1,0
1990-09,1,0,0,1,0
1990-10,4,0,0,4,0
1990-11,7,0,0,7,0
1990-12,2,0,0,2,0
1991-02,1,0,0,1,0
1991-03,1,0,0,1,0
1991-04,2,0,0,2,0
1991-07,4,0,0,4,0
1991-08,1,0,0,1,0
1991-09,6,0,0,6,0
1991-10,4,0,0,4,0
1991-11,2,0,0,2,0
1991-12,3,0,0,3,0
1992-01,3,0,0,3,0
1992-02,2,0,0,2,0
1992-03,3,0,0,3,0
1992-04,4,1,1,3,0
1992-05,7,0,0,7,0
1992-06,4,0,0,4,0
1992-07,6,0,0,6,0
1992-08,4,0,0,4,0
1992-09,4,0,0,4,0
1992-10,6,0,0,6,0
1992-11,2,0,0,2,0
1992-12,3,0,0,3,0
1993-01,8,1,1,7,0
1993-02,7,0,0,7,0
1993-03,3,0,0,3,0
1993-04,6,0,0,6,0
1993-05,5,0,0,5,0
1993-06,4,0,0,4,0
1993-07,12,0,0,12,0
1993-08,2,0,0,2,0
1993-09,5,0,0,5,0
1993-10,11,0,0,11,0
1993-11,7,0,0,7,0
1993-12,13,0,0,13,0
1994-01,7,0,0,7,0
1994-02,5,0,0,5,0
1994-03,7,0,0,7,0
1994-04,12,0,0,12,0
1994-05,17,0,0,17,0
1994-06,8,0,0,8,0
1994-07,15,0,0,15,0
1994-08,5,0,0,5,0
1994-09,10,0,0,10,0
1994-10,8,0,0,8,0
1994-11,8,0,0,8,0
1994-12,17,0,0,17,0
1995-01,7,0,0,7,0
1995-02,8,0,0,8,0
1995-03,13,0,0,13,0
1995-04,8,0,0,8,0
1995-05,17,0,0,17,0
1995-06,7,0,0,7,0
1995-07,13,0,0,13,0
1995-08,15,0,0,15,0
1995-09,11,0,0,11,0
1995-10,14,0,0,14,0
1995-11,10,0,0,10,0
1995-12,6,0,0,6,0
1996-01,10,0,0,10,0
1996-02,4,0,0,4,0
1996-03,11,0,0,11,0
1996-04,7,0,0,7,0
1996-05,8,0,0,8,0
1996-06,15,0,0,15,0
1996-07,25,0,0,25,0
1996-08,35,0,0,35,0
1996-09,13,0,0,13,0
1996-10,12,0,0,12,0
1996-11,15,0,0,15,0
1996-12,11,0,0,11,0
1997-01,11,0,0,11,0
1997-02,23,0,0,23,0
1997-03,14,0,0,14,0
1997-04,20,0,0,20,0
1997-05,25,0,0,25,0
1997-06,28,0,0,28,0
1997-07,24,0,0,24,0
1997-08,15,0,0,15,0
1997-09,14,1,1,13,0
1997-10,30,1,1,29,0
1997-11,35,12,12,23,0
1997-12,62,35,35,27,0
1998-01,41,24,24,17,0
1998-02,59,40,40,19,0
1998-03,129,82,82,47,0
1998-04,80,65,65,15,0
1998-05,254,236,236,18,0
1998-06,255,208,208,47,0
1998-07,171,134,134,37,0
1998-08,118,89,89,29,0
1998-09,150,129,129,21,0
1998-10,113,87,87,26,0
1998-11,156,120,120,36,0
1998-12,172,101,101,71,0
1999-01,118,41,41,77,0
1999-02,193,70,70,123,0
1999-03,274,79,79,194,1
1999-04,235,70,70,165,0
1999-05,315,94,94,221,0
1999-06,360,113,113,246,1
1999-07,322,69,69,253,0
1999-08,417,62,62,355,0
1999-09,245,58,58,187,0
1999-10,185,83,83,102,0
1999-11,208,89,89,118,1
1999-12,132,66,66,66,0
2000-01,117,48,48,69,0
2000-02,211,101,101,110,0
2000-03,148,67,67,80,1
2000-04,209,111,111,96,2
2000-05,228,110,110,117,1
2000-06,179,79,79,95,5
2000-07,299,92,92,195,12
2000-08,181,42,40,126,13
2000-09,140,43,41,91,6
2000-10,180,72,71,90,18
2000-11,241,91,91,122,28
2000-12,170,55,55,107,8
2001-01,236,108,103,114,14
2001-02,186,116,114,53,17
2001-03,165,99,99,48,18
2001-04,222,117,115,86,19
2001-05,382,186,186,153,43
2001-06,247,111,109,103,33
2001-07,335,139,135,164,32
2001-08,185,86,82,86,13
2001-09,209,110,108,78,21
2001-10,258,137,137,90,31
2001-11,211,116,109,70,25
2001-12,289,115,115,167,7
2002-01,426,206,206,194,26
2002-02,361,184,180,159,18
2002-03,345,184,180,129,32
2002-04,384,238,232,121,25
2002-05,323,192,191,106,25
2002-06,431,174,172,239,18
2002-07,313,170,170,73,70
2002-08,161,80,79,59,22
2002-09,195,110,110,63,22
2002-10,238,138,136,83,17
2002-11,192,103,103,62,27
2002-12,222,138,138,57,27
2003-01,253,145,145,80,28
2003-02,270,122,121,128,20
2003-03,269,170,170,67,32
2003-04,339,173,173,144,22
2003-05,275,170,170,76,29
2003-06,358,218,218,96,44
2003-07,379,196,196,156,27
2003-08,165,96,96,62,7
2003-09,402,219,218,160,23
2003-10,271,195,193,48,28
2003-11,224,128,128,81,15
2003-12,428,234,234,166,28
2004-01,329,233,233,69,27
2004-02,236,167,167,49,20
2004-03,598,273,270,272,53
2004-04,466,290,287,142,34
2004-05,429,270,267,103,56
2004-06,401,295,290,69,37
2004-07,395,227,225,101,67
2004-08,420,184,181,208,28
2004-09,346,220,219,96,30
2004-10,285,203,203,69,13
2004-11,310,163,163,126,21
2004-12,413,293,289,87,33
2005-01,471,331,328,108,32
2005-02,450,280,274,117,53
2005-03,472,318,313,131,23
2005-04,381,243,237,111,27
2005-05,476,306,294,133,37
2005-06,459,205,194,225,29
2005-07,294,159,155,98,37
2005-08,269,121,112,120,28
2005-09,331,164,159,147,20
2005-10,282,160,155,91,31
2005-11,249,139,135,87,23
2005-12,331,134,132,177,20
2006-01,261,158,154,88,15
2006-02,371,161,159,185,25
2006-03,461,211,204,180,70
2006-04,428,206,205,195,27
2006-05,501,248,241,208,45
2006-06,407,230,225,152,25
2006-07,486,169,168,281,36
2006-08,299,144,141,140,15
2006-09,433,200,196,206,27
2006-10,402,235,233,142,25
2006-11,469,301,300,135,33
2006-12,575,397,395,161,17
2007-01,539,320,314,191,28
2007-02,469,261,234,190,18
2007-03,848,453,312,356,39
2007-04,650,388,330,228,34
2007-05,1008,507,430,453,48
2007-06,1266,800,662,445,21
2007-07,1495,862,583,608,25
2007-08,1539,836,662,693,10
2007-09,1397,885,719,486,26
2007-10,2012,1453,1265,522,37
2007-11,2065,1359,1043,678,28
2007-12,1557,958,721,586,13
2008-01,1578,1115,965,445,18
2008-02,1547,988,939,538,21
2008-03,2007,1493,1373,494,20
2008-04,2811,2123,1896,667,21
2008-05,2937,1902,1639,985,50
2008-06,3028,2090,1915,867,71
2008-07,3386,2550,2387,802,34
2008-08,3242,2396,2022,827,19
2008-09,2615,1974,1877,608,33
2008-10,2713,1940,1762,745,28
2008-11,3787,3082,2836,664,41
2008-12,2505,1981,1715,506,18
2009-01,4912,4356,4195,522,34
2009-02,4477,3782,3456,662,33
2009-03,4964,4007,3541,908,49
2009-04,9607,8517,8094,1039,51
2009-05,7747,6841,6434,873,33
2009-06,10450,8970,8291,1444,36
2009-07,8427,6731,6113,1655,41
2009-08,8168,6479,5808,1638,51
2009-09,4361,3146,2446,1183,32
2009-10,5940,3957,2516,1928,55
2009-11,4239,3166,2671,998,75
2009-12,3824,3026,2774,752,46
2010-01,2347,1732,1640,549,66
2010-02,4095,3265,2899,786,44
2010-03,9173,7489,6812,1579,105
2010-04,3901,2908,2633,901,92
2010-05,4296,2976,2461,1252,68
2010-06,5319,4058,3635,1214,47
2010-07,3634,2316,1770,1213,105
2010-08,4064,2846,2480,1137,81
2010-09,2048,1330,1198,673,45
2010-10,3072,2137,1950,829,106
2010-11,2384,1557,1353,747,80
2010-12,2312,1509,1350,697,106
2011-01,3543,2659,2338,800,84
2011-02,3853,2784,2465,1013,56
